iso_code,location,total_deaths_per_million,total_deaths_per_million,people_vaccinated_per_hundred,date
AFG,Afghanistan,,,,2020-02-24
AFG,Afghanistan,,,,2020-02-25
AFG,Afghanistan,,,,2020-02-26
AFG,Afghanistan,,,,2020-02-27
AFG,Afghanistan,,,,2020-02-28
AFG,Afghanistan,,,,2020-02-29
AFG,Afghanistan,,,,2020-03-01
AFG,Afghanistan,,,,2020-03-02
AFG,Afghanistan,,,,2020-03-03
AFG,Afghanistan,,,,2020-03-04
AFG,Afghanistan,,,,2020-03-05
AFG,Afghanistan,,,,2020-03-06
AFG,Afghanistan,,,,2020-03-07
AFG,Afghanistan,,,,2020-03-08
AFG,Afghanistan,,,,2020-03-09
AFG,Afghanistan,,,,2020-03-10
AFG,Afghanistan,,,,2020-03-11
AFG,Afghanistan,,,,2020-03-12
AFG,Afghanistan,,,,2020-03-13
AFG,Afghanistan,,,,2020-03-14
AFG,Afghanistan,,,,2020-03-15
AFG,Afghanistan,,,,2020-03-16
AFG,Afghanistan,,,,2020-03-17
AFG,Afghanistan,,,,2020-03-18
AFG,Afghanistan,,,,2020-03-19
AFG,Afghanistan,,,,2020-03-20
AFG,Afghanistan,,,,2020-03-21
AFG,Afghanistan,0.026,0.026,,2020-03-22
AFG,Afghanistan,0.026,0.026,,2020-03-23
AFG,Afghanistan,0.026,0.026,,2020-03-24
AFG,Afghanistan,0.051,0.051,,2020-03-25
AFG,Afghanistan,0.077,0.077,,2020-03-26
AFG,Afghanistan,0.077,0.077,,2020-03-27
AFG,Afghanistan,0.103,0.103,,2020-03-28
AFG,Afghanistan,0.103,0.103,,2020-03-29
AFG,Afghanistan,0.103,0.103,,2020-03-30
AFG,Afghanistan,0.103,0.103,,2020-03-31
AFG,Afghanistan,0.103,0.103,,2020-04-01
AFG,Afghanistan,0.103,0.103,,2020-04-02
AFG,Afghanistan,0.206,0.206,,2020-04-03
AFG,Afghanistan,0.257,0.257,,2020-04-04
AFG,Afghanistan,0.308,0.308,,2020-04-05
AFG,Afghanistan,0.385,0.385,,2020-04-06
AFG,Afghanistan,0.411,0.411,,2020-04-07
AFG,Afghanistan,0.411,0.411,,2020-04-08
AFG,Afghanistan,0.437,0.437,,2020-04-09
AFG,Afghanistan,0.462,0.462,,2020-04-10
AFG,Afghanistan,0.462,0.462,,2020-04-11
AFG,Afghanistan,0.488,0.488,,2020-04-12
AFG,Afghanistan,0.565,0.565,,2020-04-13
AFG,Afghanistan,0.591,0.591,,2020-04-14
AFG,Afghanistan,0.745,0.745,,2020-04-15
AFG,Afghanistan,0.771,0.771,,2020-04-16
AFG,Afghanistan,0.771,0.771,,2020-04-17
AFG,Afghanistan,0.771,0.771,,2020-04-18
AFG,Afghanistan,0.848,0.848,,2020-04-19
AFG,Afghanistan,0.925,0.925,,2020-04-20
AFG,Afghanistan,0.925,0.925,,2020-04-21
AFG,Afghanistan,1.028,1.028,,2020-04-22
AFG,Afghanistan,1.028,1.028,,2020-04-23
AFG,Afghanistan,1.105,1.105,,2020-04-24
AFG,Afghanistan,1.207,1.207,,2020-04-25
AFG,Afghanistan,1.336,1.336,,2020-04-26
AFG,Afghanistan,1.49,1.49,,2020-04-27
AFG,Afghanistan,1.516,1.516,,2020-04-28
AFG,Afghanistan,1.567,1.567,,2020-04-29
AFG,Afghanistan,1.644,1.644,,2020-04-30
AFG,Afghanistan,1.747,1.747,,2020-05-01
AFG,Afghanistan,1.85,1.85,,2020-05-02
AFG,Afghanistan,2.183,2.183,,2020-05-03
AFG,Afghanistan,2.312,2.312,,2020-05-04
AFG,Afghanistan,2.44,2.44,,2020-05-05
AFG,Afghanistan,2.672,2.672,,2020-05-06
AFG,Afghanistan,2.723,2.723,,2020-05-07
AFG,Afghanistan,2.8,2.8,,2020-05-08
AFG,Afghanistan,2.954,2.954,,2020-05-09
AFG,Afghanistan,3.083,3.083,,2020-05-10
AFG,Afghanistan,3.134,3.134,,2020-05-11
AFG,Afghanistan,3.262,3.262,,2020-05-12
AFG,Afghanistan,3.391,3.391,,2020-05-13
AFG,Afghanistan,3.494,3.494,,2020-05-14
AFG,Afghanistan,3.93,3.93,,2020-05-15
AFG,Afghanistan,4.316,4.316,,2020-05-16
AFG,Afghanistan,4.367,4.367,,2020-05-17
AFG,Afghanistan,4.444,4.444,,2020-05-18
AFG,Afghanistan,4.573,4.573,,2020-05-19
AFG,Afghanistan,4.829,4.829,,2020-05-20
AFG,Afghanistan,4.984,4.984,,2020-05-21
AFG,Afghanistan,5.292,5.292,,2020-05-22
AFG,Afghanistan,5.574,5.574,,2020-05-23
AFG,Afghanistan,5.626,5.626,,2020-05-24
AFG,Afghanistan,5.651,5.651,,2020-05-25
AFG,Afghanistan,5.677,5.677,,2020-05-26
AFG,Afghanistan,5.857,5.857,,2020-05-27
AFG,Afghanistan,6.062,6.062,,2020-05-28
AFG,Afghanistan,6.345,6.345,,2020-05-29
AFG,Afghanistan,6.422,6.422,,2020-05-30
AFG,Afghanistan,6.628,6.628,,2020-05-31
AFG,Afghanistan,6.833,6.833,,2020-06-01
AFG,Afghanistan,7.039,7.039,,2020-06-02
AFG,Afghanistan,7.655,7.655,,2020-06-03
AFG,Afghanistan,7.809,7.809,,2020-06-04
AFG,Afghanistan,8.04,8.04,,2020-06-05
AFG,Afghanistan,8.503,8.503,,2020-06-06
AFG,Afghanistan,9.273,9.273,,2020-06-07
AFG,Afghanistan,9.582,9.582,,2020-06-08
AFG,Afghanistan,9.967,9.967,,2020-06-09
AFG,Afghanistan,10.506,10.506,,2020-06-10
AFG,Afghanistan,11.046,11.046,,2020-06-11
AFG,Afghanistan,11.56,11.56,,2020-06-12
AFG,Afghanistan,11.688,11.688,,2020-06-13
AFG,Afghanistan,12.202,12.202,,2020-06-14
AFG,Afghanistan,12.382,12.382,,2020-06-15
AFG,Afghanistan,12.716,12.716,,2020-06-16
AFG,Afghanistan,13.05,13.05,,2020-06-17
AFG,Afghanistan,14.129,14.129,,2020-06-18
AFG,Afghanistan,14.18,14.18,,2020-06-19
AFG,Afghanistan,14.719,14.719,,2020-06-20
AFG,Afghanistan,15.028,15.028,,2020-06-21
AFG,Afghanistan,15.336,15.336,,2020-06-22
AFG,Afghanistan,15.85,15.85,,2020-06-23
AFG,Afghanistan,16.389,16.389,,2020-06-24
AFG,Afghanistan,17.314,17.314,,2020-06-25
AFG,Afghanistan,17.519,17.519,,2020-06-26
AFG,Afghanistan,18.393,18.393,,2020-06-27
AFG,Afghanistan,18.701,18.701,,2020-06-28
AFG,Afghanistan,19.009,19.009,,2020-06-29
AFG,Afghanistan,19.318,19.318,,2020-06-30
AFG,Afghanistan,20.037,20.037,,2020-07-01
AFG,Afghanistan,20.782,20.782,,2020-07-02
AFG,Afghanistan,21.09,21.09,,2020-07-03
AFG,Afghanistan,21.27,21.27,,2020-07-04
AFG,Afghanistan,22.246,22.246,,2020-07-05
AFG,Afghanistan,23.119,23.119,,2020-07-06
AFG,Afghanistan,23.685,23.685,,2020-07-07
AFG,Afghanistan,24.121,24.121,,2020-07-08
AFG,Afghanistan,24.635,24.635,,2020-07-09
AFG,Afghanistan,24.995,24.995,,2020-07-10
AFG,Afghanistan,25.585,25.585,,2020-07-11
AFG,Afghanistan,25.996,25.996,,2020-07-12
AFG,Afghanistan,26.716,26.716,,2020-07-13
AFG,Afghanistan,27.332,27.332,,2020-07-14
AFG,Afghanistan,28.154,28.154,,2020-07-15
AFG,Afghanistan,28.694,28.694,,2020-07-16
AFG,Afghanistan,29.516,29.516,,2020-07-17
AFG,Afghanistan,29.952,29.952,,2020-07-18
AFG,Afghanistan,30.389,30.389,,2020-07-19
AFG,Afghanistan,30.441,30.441,,2020-07-20
AFG,Afghanistan,30.518,30.518,,2020-07-21
AFG,Afghanistan,30.62,30.62,,2020-07-22
AFG,Afghanistan,31.16,31.16,,2020-07-23
AFG,Afghanistan,31.519,31.519,,2020-07-24
AFG,Afghanistan,32.085,32.085,,2020-07-25
AFG,Afghanistan,32.393,32.393,,2020-07-26
AFG,Afghanistan,32.65,32.65,,2020-07-27
AFG,Afghanistan,32.675,32.675,,2020-07-28
AFG,Afghanistan,32.701,32.701,,2020-07-29
AFG,Afghanistan,32.958,32.958,,2020-07-30
AFG,Afghanistan,32.984,32.984,,2020-07-31
AFG,Afghanistan,33.009,33.009,,2020-08-01
AFG,Afghanistan,33.035,33.035,,2020-08-02
AFG,Afghanistan,33.138,33.138,,2020-08-03
AFG,Afghanistan,33.138,33.138,,2020-08-04
AFG,Afghanistan,33.292,33.292,,2020-08-05
AFG,Afghanistan,33.42,33.42,,2020-08-06
